scenario	sim_id	generation	tot_TE
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50001	175438
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50002	175566
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50003	175728
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50004	175462
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50005	175313
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50006	175132
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50007	175114
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50008	174760
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50009	175086
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50010	174938
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50011	175092
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50012	174928
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50013	174732
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50014	175076
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50015	174671
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50016	174946
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50017	174628
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50018	174732
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50019	174920
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50020	174766
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50021	174786
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50022	175287
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50023	174994
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50024	174770
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50025	174994
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50026	175010
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50027	175520
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50028	175647
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50029	176008
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50030	176043
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50031	176117
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50032	175858
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50033	175664
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50034	175536
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50035	175566
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50036	175616
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50037	174476
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50038	174367
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50039	174774
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50040	174358
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50041	174450
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50042	174637
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50043	174750
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50044	174907
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50045	174961
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50046	174778
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50047	174674
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50048	175073
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50049	175080
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50050	175002
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50051	174941
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50052	175080
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50053	175358
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50054	175346
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50055	175708
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50056	175828
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50057	175772
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50058	175644
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50059	175868
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50060	175999
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50061	176105
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50062	176193
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50063	176195
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50064	175993
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50065	175914
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50066	175760
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50067	176038
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50068	175996
DOM_NEUTRAL	3063800792438_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	50069	176254
