ID	DISARM	DISCENT	ACTARM	ACTCENT	ARM	CENTER	SIM	DOM	SCENARIO
1570842892177_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt	3603	1878	12088.5	9609	15691.5	11487	NO_DOM_SEL_CENTR_WEAK	NO_DOMAINS	SEL_CENTER_WEAK
1574732952051_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt	3744	1915	13084	10273	16828	12188	NO_DOM_SEL_CENTR_WEAK	NO_DOMAINS	SEL_CENTER_WEAK
1575800471661_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt	16289	16528	68070.5	69533	84359.5	86061	NO_DOM_NEUTRAL	NO_DOMAINS	NEUTRAL
1578500612181_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt	2335	533	5824.5	3795	8159.5	4328	NO_DOM_SEL_CENTR	NO_DOMAINS	SEL_CENTER
1579703103103_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt	3650	1893	11607.5	9031	15257.5	10924	NO_DOM_SEL_CENTR_WEAK	NO_DOMAINS	SEL_CENTER_WEAK
1582993163105_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt	3587.5	2036	11997	9383	15584.5	11419	NO_DOM_SEL_CENTR_WEAK	NO_DOMAINS	SEL_CENTER_WEAK
1583680792430_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt	2383.5	581	5965.5	4093	8349	4674	NO_DOM_SEL_CENTR	NO_DOMAINS	SEL_CENTER
1587760911594_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt	2274.5	559	5710.5	3825	7985	4384	NO_DOM_SEL_CENTR	NO_DOMAINS	SEL_CENTER
1591391554596_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt	3573	2098	12123.5	9655	15696.5	11753	NO_DOM_SEL_CENTR_WEAK	NO_DOMAINS	SEL_CENTER_WEAK
1596291183534_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt	2325.5	531	5189	3626	7514.5	4157	NO_DOM_SEL_CENTR	NO_DOMAINS	SEL_CENTER
1602333823135_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt	3672	2007	12509.5	9982	16181.5	11989	NO_DOM_SEL_CENTR_WEAK	NO_DOMAINS	SEL_CENTER_WEAK
1603031392006_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt	2272.5	508	5816	3743	8088.5	4251	NO_DOM_SEL_CENTR	NO_DOMAINS	SEL_CENTER
1606647754979_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL_WEAK_POS_MUT.txt	5967	6053	16762	16318	22729	22371	DOM_SEL_ALL_WEAK_POS_MUT	HIGH_LOW_HIGH	SEL_ALL_WEAK_POS_MUT
1608814003188_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt	4053.5	2300	13856.5	11061	17910	13361	NO_DOM_SEL_CENTR_WEAK	NO_DOMAINS	SEL_CENTER_WEAK
1616461722989_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt	2243	506	5830.5	3863	8073.5	4369	NO_DOM_SEL_CENTR	NO_DOMAINS	SEL_CENTER
1616491723005_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt	2316.5	542	5904.5	3644	8221	4186	NO_DOM_SEL_CENTR	NO_DOMAINS	SEL_CENTER
1618211751481_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt	2151.5	478	5206.5	3598	7358	4076	NO_DOM_SEL_CENTR	NO_DOMAINS	SEL_CENTER
1634832352182_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt	3711	1911	12405.5	9424	16116.5	11335	NO_DOM_SEL_CENTR_WEAK	NO_DOMAINS	SEL_CENTER_WEAK
1637965323537_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt	3604	2005	12145	9641	15749	11646	NO_DOM_SEL_CENTR_WEAK	NO_DOMAINS	SEL_CENTER_WEAK
1639622871917_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt	17061.5	16968	67441	68160	84502.5	85128	NO_DOM_NEUTRAL	NO_DOMAINS	NEUTRAL
1639832503620_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt	3240.5	1741	11063	8812	14303.5	10553	NO_DOM_SEL_CENTR_WEAK	NO_DOMAINS	SEL_CENTER_WEAK
1646432712201_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt	3588.5	1869	11660	8959	15248.5	10828	NO_DOM_SEL_CENTR_WEAK	NO_DOMAINS	SEL_CENTER_WEAK
1666073318546_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt	3588.5	1882	12206.5	9606	15795	11488	NO_DOM_SEL_CENTR_WEAK	NO_DOMAINS	SEL_CENTER_WEAK
