rep_class	rep_count	adj_r2	F	numdf	dendf	beta_Estimate	beta_std_error	t_value	p_value	arm_lower	arm_mean	arm_upper	center_lower	center_mean	center_upper	arm_cen_effect_size_lower	arm_cen_effect_size	arm_cen_effect_size_upper	percent_genome_repeat	repeat_total_bp	p_adjust	p_sig	species
NOF	2960	0.0152381833006466	163.786255117103	1	10519	146.34784201116	11.4353008874584	12.7979004183148	3.19042253515324e-37	42.718937437508	49.170499904961	55.6220623724141	0.486061108952336	0.744486692015209	1.00291227507808	0.248248006055661	0.286664588485638	0.325081170915616	0.245568841722034	262602	6.6998873238218e-36	TRUE	briggsae
Charlie	676	0.0132653604149229	142.427680722419	1	10519	68.7061157526	5.75702606271872	11.9343068806873	1.27288393497554e-32	18.2401898849363	21.484318570614	24.7284472562916	0.0464721927185459	0.318441064638783	0.590409936559021	0.210131886245988	0.248499896890243	0.286867907534498	0.107263952372351	114704	1.33652813172432e-31	TRUE	briggsae
Tc1	21442	0.00822838970461659	88.2808404616324	1	10519	310.956721578626	33.0953302612195	9.39578844278821	6.85612302210674e-21	342.803101087624	357.767534689223	372.731968290822	252.942749547126	264.201711026616	275.460672506106	0.152672410058928	0.190980219335212	0.229288028611497	3.0596896532844	3271916	4.79928611547472e-20	TRUE	briggsae
Foamy	254	0.00634443417171127	68.1696005957228	1	10519	-5.45572083262477	0.660779810066815	-8.25648839372546	1.67998154199447e-16	0.239603173751268	0.382246721155674	0.52489026856008	1.6451240589785	1.99087452471483	2.33662499045116	-0.202699820351504	-0.164414519840002	-0.1261292193285	0.0116733149451114	12483	8.81990309547097e-16	TRUE	briggsae
Tc2	25033	0.00440340939374495	47.5287519656835	1	10519	154.588565149839	22.4232810806882	6.89410994731616	5.73113495131278e-12	286.678891879911	296.299752898688	305.920613917466	264.517707695852	272.828897338403	281.140086980954	0.032334426449147	0.07056710077711	0.108799775105073	2.79971876690406	2993913	2.40707667955137e-11	TRUE	briggsae
Chapaev	197	0.00249051016466706	27.2655816303298	1	10519	11.002312118574	2.10705842405686	5.22164549067914	1.80726329657607e-07	1.74873263141879	2.92472913894697	4.10072564647515	0.0736048916079584	0.274904942965779	0.476204994323601	0.0466508337274687	0.0848888244452532	0.123126815163038	0.0157411608163952	16833	6.32542153801624e-07	TRUE	briggsae
Ac	733	0.00147762925804173	16.5676630289711	1	10519	28.2595149949595	6.94279077225933	4.07033942429511	4.72880633800482e-05	15.4714306646813	18.7854020148261	22.0993733649709	7.05151670634471	9.1615969581749	11.2716772100051	0.0553910249302872	0.0936327426504375	0.131874460370588	0.137483839079571	147020	0.000141864190140145	TRUE	briggsae
m44	871	0.00122046274460308	13.8549570694121	1	10519	-20.1576085810399	5.41547325847586	-3.72222474729994	0.000198504978501437	10.9653155263885	13.0971298232275	15.2289441200666	16.9252320366139	19.1279467680608	21.3306614995077	-0.113438474906641	-0.0752041863971329	-0.0369698978876246	0.158521615761472	169517	0.000521075568566272	TRUE	briggsae
MuDR	6649	0.00108559507026929	12.432871608291	1	10519	54.2873285483681	15.396171721844	3.52602773787885	0.000423638293673783	100.827281776076	107.630488500285	114.433695224494	86.6532825691205	92.1003802281369	97.5474778871533	0.0298824293130152	0.0681142913136548	0.106346153314294	0.982540945790998	1050692	0.000988489351905494	TRUE	briggsae
Mariner	2541	0.00101392779990117	11.6773465134195	1	10519	-76.5254743073114	22.3941171720807	-3.41721326718418	0.000635052573094934	83.5675303799838	92.6109104732941	101.654290566604	102.647701420608	111.533650190114	120.419598959621	-0.095280051908568	-0.0570514968221935	-0.0188229417358191	1.00423705890816	1073893	0.00133361040349936	TRUE	briggsae
Sola3	10	0.000730133331474203	8.68661490085533	1	10519	0.44202075044907	0.149974482926325	2.94730638055416	0.00321259268747513	0.0361885127045698	0.121079642653488	0.205970772602406	0	0	0	0.016287251403439	0.0545151306537979	0.0927430099041568	0.000595682257473042	637	0.0061331314942707	TRUE	briggsae
T2	14	0.000630286505710842	7.63479586237905	1	10519	5.98984206882333	2.16778724678099	2.76311343639364	0.00573523729612558	0.273938101172906	1.50104542862574	2.72815275607857	0	0	0	0.00852807925315214	0.0467540813168828	0.0849800833806135	0.00738477674609829	7897	0.0100366652682198	TRUE	briggsae
CR1	7073	0.00046082955926674	5.85016206153153	1	10519	48.2069379188484	19.9308397653626	2.41871082635596	0.0155924794539193	91.2861442953562	99.2915795476145	107.297014799873	73.5854042111131	81.5325095057034	89.4796148002938	0.0219504999469345	0.0601799309389604	0.0984093619309863	0.889534091844759	951234	0.0251878514255619	TRUE	briggsae
ID	49	9.91574051847355e-05	2.04323934745153	1	10519	0.749506003951935	0.524343024044378	1.42941923432264	0.152913470023095	0.270163459013249	0.5067477665843	0.74333207415535	0.0715544102518128	0.250760456273764	0.429966502295716	-0.00525473811006746	0.0329686389013051	0.0711920159126776	0.00372652087288865	3985	0.229370205034643	FALSE	briggsae
NeSL	220	-1.71909514035118e-05	0.819154300146125	1	10519	2.73761072391256	3.02474547522015	0.905071433725612	0.36544827331397	1.68286457626648	2.23588671355256	2.78890885083863	0.487908796232313	2.10855513307985	3.72920146992738	-0.035378224076984	0.0028425758648372	0.0410633758066584	0.021371620584441	22854	0.511627582639558	FALSE	briggsae
hATx	2	-7.57721484168083e-05	0.202937393800958	1	10519	0.0930076641147753	0.206460843756415	0.450485730962656	0.652369525098898	-0.0470946017281834	0.0697586010264208	0.186611803781025	0	0	0	-0.0154046648923392	0.0228173594120105	0.0610393837163602	0.00034319527235888	367	0.811807521484713	FALSE	briggsae
